"countries;population;area"
"Antigua and Barbuda;97,929;440"
"Montenegro;628,066;13,45"
"South Africa;59,308,690;1,213,090"
"Turkey;84,339,067;769,63"
"Czech Republic (Czechia);10,708,981;77,24"
"Qatar;2,881,053;11,61"
"Cuba;11,326,616;106,44"
"Sao Tome & Principe;219,159;960"
"South Korea;51,269,185;97,23"
"Barbados;287,375;430"
"Malaysia;32,365,999;328,55"
"Argentina;45,195,774;2,736,690"
"Bahamas;393,244;10,01"
"Maldives;540,544;300"
"Niue;1,626;260"
"Italy;60,461,826;294,14"
"Lebanon;6,825,445;10,23"
"Israel;8,655,535;21,64"
"Australia;25,499,884;7,682,300"
"United Kingdom;67,886,011;241,93"
"Moldova;4,033,963;32,85"
"El Salvador;6,486,205;20,72"
"Equatorial Guinea;1,402,985;28,05"
"Congo;5,518,087;341,5"
"Peru;32,971,854;1,280,000"
"Uganda;45,741,007;199,81"
"Guam;168,775;540"
"Greenland;56,77;410,45"
"Togo;8,278,724;54,39"
"North Macedonia;2,083,374;25,22"
"Thailand;69,799,978;510,89"
"Somalia;15,893,222;627,34"
"Namibia;2,540,905;823,29"
"Japan;126,476,461;364,555"
"Iraq;40,222,493;434,32"
"Estonia;1,326,535;42,39"
"Guinea-Bissau;1,968,001;28,12"
"Tuvalu;11,792;30"
"Andorra;77,265;470"
"Puerto Rico;2,860,853;8,87"
"Panama;4,314,767;74,34"
"Western Sahara;597,339;266"
"Bolivia;11,673,021;1,083,300"
"Portugal;10,196,709;91,59"
"Cayman Islands;65,722;240"
"Northern Mariana Islands;57,559;460"
"Timor-Leste;1,318,445;14,87"
"Iceland;341,243;100,25"
"U.S. Virgin Islands;104,425;350"
"Iran;83,992,949;1,628,550"
"Fiji;896,445;18,27"
"Gabon;2,225,734;257,67"
"Russia;145,934,462;16,376,870"
"Tonga;105,695;720"
"New Caledonia;285,498;18,28"
"Eswatini;1,160,164;17,2"
"Nauru;10,824;20"
"French Guiana;298,682;82,2"
"Turkmenistan;6,031,200;469,93"
"Singapore;5,850,342;700"
"Belgium;11,589,623;30,28"
"Mauritius;1,271,768;2,03"
